,ANOM12,ANOM3,ANOM34,ANOM4,AUSM,EASM,EM,IM,IOD,NAT,NP,PDO,SAM,SAT,SETIO,SO,SWIO,TAS,TNA,TSA,WNPM,WTIO,WYM,meses
1982-02-01,-0.6866666666666666,0.03,0.03666666666666667,0.11,,,,,,,,,,,,,,,,,,,,JFM
1982-03-01,-0.9533333333333335,0.01,0.06666666666666667,0.25,,,,,,,,,,,,,,,,,,,,FMA
1982-04-01,-0.8366666666666668,0.24333333333333332,0.3033333333333333,0.4466666666666666,,,,,,,,,,,,,,,,,,,,MAM
1982-05-01,-0.37666666666666665,0.64,0.6766666666666667,0.68,,,,,,,,,,,,,,,,,,,,AMJ
1982-06-01,0.23666666666666666,0.8533333333333334,0.89,0.7333333333333334,,,,,,,,,,,,,,,,,,,,MJJ
1982-07-01,0.68,1.0033333333333332,1.03,0.62,,,,,,,,,,,,,,,,,,,,JJA
1982-08-01,1.1366666666666667,1.2166666666666666,1.1266666666666667,0.47,,,,,,,,,,,,,,,,,,,,JAS
1982-09-01,1.5533333333333335,1.6733333333333331,1.4833333333333334,0.5166666666666666,,,,,,,,,,,,,,,,,,,,ASO
1982-10-01,2.186666666666667,2.1666666666666665,1.8333333333333333,0.5966666666666667,,,,,,,,,,,,,,,,,,,,SON
1982-11-01,2.8200000000000003,2.6933333333333334,2.25,0.66,,,,,,,,,,,,,,,,,,,,OND
1982-12-01,3.1,3.06,2.5300000000000002,0.6533333333333333,,,,,,,,,,,,,,,,,,,,NDJ
1983-01-01,2.7733333333333334,3.03,2.6133333333333333,0.6833333333333332,,,,,,,,,,,,,,,,,,,,DJF
1983-02-01,2.3800000000000003,2.6,2.3366666666666664,0.6533333333333333,,,,,,,,,,,,,,,,,,,,JFM
1983-03-01,2.4233333333333333,2.0433333333333334,1.7833333333333334,0.5366666666666666,,,,,,,,,,,,,,,,,,,,FMA
1983-04-01,3.08,1.8233333333333333,1.3266666666666667,0.4033333333333333,,,,,,,,,,,,,,,,,,,,MAM
1983-05-01,3.9,1.7433333333333332,0.9199999999999999,0.22666666666666666,,,,,,,,,,,,,,,,,,,,AMJ
1983-06-01,4.319999999999999,1.5366666666666664,0.49333333333333335,0.05999999999999999,,,,,,,,,,,,,,,,,,,,MJJ
1983-07-01,4.033333333333332,1.2,0.04999999999999999,-0.13666666666666666,,,,,,,,,,,,,,,,,,,,JJA
1983-08-01,3.1199999999999997,0.7566666666666667,-0.24,-0.3033333333333333,,,,,,,,,,,,,,,,,,,,JAS
1983-09-01,2.0166666666666666,0.32,-0.4633333333333334,-0.5566666666666666,,,,,,,,,,,,,,,,,,,,ASO
1983-10-01,1.0766666666666667,-0.24333333333333332,-0.7233333333333333,-0.7466666666666667,,,,,,,,,,,,,,,,,,,,SON
1983-11-01,0.5233333333333333,-0.6066666666666667,-0.9566666666666667,-0.8166666666666668,,,,,,,,,,,,,,,,,,,,OND
1983-12-01,0.08333333333333333,-0.7733333333333334,-0.9933333333333333,-0.7333333333333334,,,,,,,,,,,,,,,,,,,,NDJ
1984-01-01,-0.3166666666666667,-0.5533333333333333,-0.7466666666666667,-0.7266666666666667,,,,,,,,,,,,,,,,,,,,DJF
1984-02-01,-0.5633333333333334,-0.3266666666666667,-0.54,-0.8300000000000001,,,,,,,,,,,,,,,,,,,,JFM
1984-03-01,-0.5733333333333334,-0.10999999999999999,-0.36000000000000004,-0.8766666666666666,,,,,,,,,,,,,,,,,,,,FMA
1984-04-01,-0.6,-0.26666666666666666,-0.4033333333333333,-0.8733333333333334,,,,,,,,,,,,,,,,,,,,MAM
1984-05-01,-0.7133333333333334,-0.61,-0.5466666666666667,-0.7833333333333333,,,,,,,,,,,,,,,,,,,,AMJ
1984-06-01,-0.73,-0.7766666666666667,-0.5766666666666667,-0.6666666666666666,,,,,,,,,,,,,,,,,,,,MJJ
1984-07-01,-0.5666666666666667,-0.7333333333333334,-0.5833333333333334,-0.5566666666666666,,,,,,,,,,,,,,,,,,,,JJA
1984-08-01,-0.27666666666666667,-0.5499999999999999,-0.4166666666666667,-0.3466666666666667,,,,,,,,,,,,,,,,,,,,JAS
1984-09-01,-0.25666666666666665,-0.6533333333333333,-0.51,-0.3233333333333333,,,,,,,,,,,,,,,,,,,,ASO
1984-10-01,-0.12666666666666668,-0.8066666666666666,-0.7633333333333333,-0.3666666666666667,,,,,,,,,,,,,,,,,,,,SON
1984-11-01,-0.19999999999999998,-1.1199999999999999,-1.1900000000000002,-0.6900000000000001,,,,,,,,,,,,,,,,,,,,OND
1984-12-01,-0.38999999999999996,-1.17,-1.3166666666666667,-0.7599999999999999,,,,,,,,,,,,,,,,,,,,NDJ
1985-01-01,-0.7600000000000001,-1.2466666666666668,-1.2533333333333332,-0.7300000000000001,,,,,,,,,,,,,,,,,,,,DJF
1985-02-01,-0.9499999999999998,-1.11,-1.0599999999999998,-0.65,,,,,,,,,,,,,,,,,,,,JFM
1985-03-01,-1.0666666666666667,-1.0633333333333332,-1.0066666666666666,-0.7133333333333334,,,,,,,,,,,,,,,,,,,,FMA
1985-04-01,-1.3033333333333335,-0.9899999999999999,-0.9033333333333333,-0.7733333333333334,,,,,,,,,,,,,,,,,,,,MAM
1985-05-01,-1.4000000000000001,-0.9233333333333333,-0.8366666666666666,-0.7566666666666667,,,,,,,,,,,,,,,,,,,,AMJ
1985-06-01,-1.38,-0.89,-0.6866666666666666,-0.6699999999999999,,,,,,,,,,,,,,,,,,,,MJJ
1985-07-01,-1.1966666666666665,-0.7666666666666666,-0.5466666666666667,-0.5466666666666667,,,,,,,,,,,,,,,,,,,,JJA
1985-08-01,-1.1466666666666667,-0.7233333333333333,-0.44,-0.41333333333333333,,,,,,,,,,,,,,,,,,,,JAS
1985-09-01,-1.0666666666666667,-0.6866666666666666,-0.43,-0.3666666666666667,,,,,,,,,,,,,,,,,,,,ASO
1985-10-01,-0.9133333333333334,-0.7233333333333333,-0.4766666666666666,-0.2833333333333333,,,,,,,,,,,,,,,,,,,,SON
1985-11-01,-0.7366666666666667,-0.7733333333333333,-0.47333333333333333,-0.15,,,,,,,,,,,,,,,,,,,,OND
1985-12-01,-0.38000000000000006,-0.8166666666666665,-0.5666666666666668,-0.08666666666666667,,,,,,,,,,,,,,,,,,,,NDJ
1986-01-01,-0.08333333333333333,-0.77,-0.6733333333333333,-0.10666666666666667,,,,,,,,,,,,,,,,,,,,DJF
1986-02-01,-0.15666666666666665,-0.5866666666666667,-0.71,-0.19333333333333333,,,,,,,,,,,,,,,,,,,,JFM
1986-03-01,-0.5033333333333333,-0.3966666666666667,-0.5633333333333334,-0.22666666666666666,,,,,,,,,,,,,,,,,,,,FMA
1986-04-01,-0.7733333333333333,-0.3433333333333333,-0.41999999999999993,-0.24,,,,,,,,,,,,,,,,,,,,MAM
1986-05-01,-0.85,-0.2866666666666667,-0.21666666666666665,-0.16666666666666666,,,,,,,,,,,,,,,,,,,,AMJ
1986-06-01,-0.7133333333333333,-0.15,-0.05333333333333334,-0.03666666666666666,,,,,,,,,,,,,,,,,,,,MJJ
1986-07-01,-0.33333333333333326,-0.006666666666666668,0.17333333333333334,0.15333333333333332,,,,,,,,,,,,,,,,,,,,JJA
1986-08-01,-0.026666666666666658,0.17,0.3633333333333333,0.31666666666666665,,,,,,,,,,,,,,,,,,,,JAS
1986-09-01,0.21666666666666667,0.37666666666666665,0.6066666666666666,0.5233333333333333,,,,,,,,,,,,,,,,,,,,ASO
1986-10-01,0.25666666666666665,0.68,0.8566666666666668,0.66,,,,,,,,,,,,,,,,,,,,SON
1986-11-01,0.3,0.7866666666666666,1.03,0.73,,,,,,,,,,,,,,,,,,,,OND
1986-12-01,0.49666666666666665,0.9066666666666666,1.1833333333333333,0.73,,,,,,,,,,,,,,,,,,,,NDJ
1987-01-01,0.7066666666666667,0.9433333333333334,1.2566666666666666,0.75,,,,,,,,,,,,,,,,,,,,DJF
1987-02-01,1.1333333333333335,1.0566666666666669,1.2966666666666666,0.7999999999999999,,,,,,,,,,,,,,,,,,,,JFM
1987-03-01,1.42,1.0333333333333334,1.19,0.7966666666666665,,,,,,,,,,,,,,,,,,,,FMA
1987-04-01,1.5233333333333334,1.0633333333333332,1.0566666666666666,0.6733333333333333,,,,,,,,,,,,,,,,,,,,MAM
1987-05-01,1.4400000000000002,1.1366666666666667,1.0999999999999999,0.62,,,,,,,,,,,,,,,,,,,,AMJ
1987-06-01,1.2666666666666666,1.29,1.2866666666666666,0.6066666666666666,,,,,,,,,,,,,,,,,,,,MJJ
1987-07-01,1.1666666666666667,1.42,1.5733333333333333,0.6966666666666667,,,,,,,,,,,,,,,,,,,,JJA
1987-08-01,1.1166666666666665,1.5666666666666667,1.67,0.7399999999999999,,,,,,,,,,,,,,,,,,,,JAS
1987-09-01,1.2466666666666668,1.51,1.6033333333333333,0.8333333333333334,,,,,,,,,,,,,,,,,,,,ASO
1987-10-01,1.2333333333333334,1.3833333333333335,1.4633333333333332,0.98,,,,,,,,,,,,,,,,,,,,SON
1987-11-01,1.096666666666667,1.1633333333333333,1.25,1.0233333333333334,,,,,,,,,,,,,,,,,,,,OND
1987-12-01,0.6333333333333334,0.9,1.04,0.9833333333333334,,,,,,,,,,,,,,,,,,,,NDJ
1988-01-01,0.17666666666666667,0.5766666666666667,0.7600000000000001,0.7899999999999999,,,,,,,,,,,,,,,,,,,,DJF
1988-02-01,-0.2966666666666667,0.2233333333333333,0.4466666666666667,0.4766666666666666,,,,,,,,,,,,,,,,,,,,JFM
1988-03-01,-0.6666666666666666,-0.19666666666666668,0.043333333333333314,0.08333333333333333,,,,,,,,,,,,,,,,,,,,FMA
1988-04-01,-0.7566666666666667,-0.8766666666666666,-0.5800000000000001,-0.25666666666666665,,,,,,,,,,,,,,,,,,,,MAM
1988-05-01,-1.0266666666666666,-1.5333333333333332,-1.1233333333333333,-0.49666666666666665,,,,,,,,,,,,,,,,,,,,AMJ
1988-06-01,-1.1633333333333333,-1.9133333333333333,-1.5200000000000002,-0.6866666666666666,,,,,,,,,,,,,,,,,,,,MJJ
1988-07-01,-1.4733333333333334,-1.8333333333333333,-1.5899999999999999,-0.8766666666666666,,,,,,,,,,,,,,,,,,,,JJA
1988-08-01,-1.3466666666666667,-1.59,-1.5066666666666666,-0.9933333333333333,,,,,,,,,,,,,,,,,,,,JAS
1988-09-01,-1.34,-1.5366666666666668,-1.6466666666666665,-1.22,,,,,,,,,,,,,,,,,,,,ASO
1988-10-01,-1.1766666666666667,-1.6466666666666667,-1.9133333333333333,-1.51,,,,,,,,,,,,,,,,,,,,SON
1988-11-01,-1.116666666666667,-1.9233333333333331,-2.23,-1.7366666666666666,,,,,,,,,,,,,,,,,,,,OND
1988-12-01,-0.8000000000000002,-1.8333333333333333,-2.22,-1.79,,,,,,,,,,,,,,,,,,,,NDJ
1989-01-01,-0.38999999999999996,-1.4366666666666665,-1.89,-1.6833333333333333,,,,,,,,,,,,,,,,,,,,DJF
1989-02-01,-0.013333333333333327,-1.12,-1.5833333333333333,-1.5,,,,,,,,,,,,,,,,,,,,JFM
1989-03-01,0.16333333333333333,-0.9033333333333333,-1.2666666666666666,-1.2333333333333334,,,,,,,,,,,,,,,,,,,,FMA
1989-04-01,-0.24,-0.8866666666666667,-1.0566666666666666,-0.9333333333333332,,,,,,,,,,,,,,,,,,,,MAM
1989-05-01,-0.5599999999999999,-0.63,-0.84,-0.8366666666666666,,,,,,,,,,,,,,,,,,,,AMJ
1989-06-01,-0.7733333333333333,-0.46666666666666673,-0.6366666666666667,-0.7166666666666667,,,,,,,,,,,,,,,,,,,,MJJ
1989-07-01,-0.5433333333333333,-0.3733333333333333,-0.5466666666666666,-0.68,,,,,,,,,,,,,,,,,,,,JJA
1989-08-01,-0.43333333333333335,-0.38999999999999996,-0.48,-0.5266666666666667,,,,,,,,,,,,,,,,,,,,JAS
1989-09-01,-0.4366666666666667,-0.42,-0.4633333333333333,-0.4166666666666667,,,,,,,,,,,,,,,,,,,,ASO
1989-10-01,-0.42,-0.4166666666666667,-0.4366666666666666,-0.36999999999999994,,,,,,,,,,,,,,,,,,,,SON
1989-11-01,-0.4566666666666667,-0.4266666666666667,-0.3433333333333333,-0.21333333333333335,,,,,,,,,,,,,,,,,,,,OND
1989-12-01,-0.44,-0.37999999999999995,-0.20666666666666667,-0.03666666666666666,,,,,,,,,,,,,,,,,,,,NDJ
1990-01-01,-0.41,-0.24,0.006666666666666672,0.27,,,,,,,,,,,,,,,,,,,,DJF
1990-02-01,-0.33,-0.13333333333333333,0.15,0.4566666666666667,,,,,,,,,,,,,,,,,,,,JFM
1990-03-01,-0.26666666666666666,0.020000000000000004,0.23666666666666666,0.5133333333333333,,,,,,,,,,,,,,,,,,,,FMA
1990-04-01,-0.25333333333333335,0.11,0.22999999999999998,0.39666666666666667,,,,,,,,,,,,,,,,,,,,MAM
1990-05-01,-0.18000000000000002,0.15333333333333335,0.12666666666666665,0.2333333333333333,,,,,,,,,,,,,,,,,,,,AMJ
1990-06-01,-0.2966666666666667,0.04000000000000001,0.056666666666666664,0.15,,,,,,,,,,,,,,,,,,,,MJJ
1990-07-01,-0.38000000000000006,-0.026666666666666672,0.06333333333333334,0.25666666666666665,,,,,,,,,,,,,,,,,,,,JJA
1990-08-01,-0.41,-0.03333333333333333,0.09666666666666668,0.34,,,,,,,,,,,,,,,,,,,,JAS
1990-09-01,-0.38999999999999996,0.016666666666666666,0.18333333333333335,0.47,,,,,,,,,,,,,,,,,,,,ASO
1990-10-01,-0.5066666666666667,-0.06,0.12999999999999998,0.44999999999999996,,,,,,,,,,,,,,,,,,,,SON
1990-11-01,-0.5433333333333333,-0.08,0.2333333333333333,0.5499999999999999,,,,,,,,,,,,,,,,,,,,OND
1990-12-01,-0.5633333333333334,-0.06666666666666667,0.2833333333333334,0.5933333333333334,,,,,,,,,,,,,,,,,,,,NDJ
1991-01-01,-0.3466666666666667,-0.04666666666666667,0.33,0.66,,,,,,,,,,,,,,,,,,,,DJF
1991-02-01,-0.23666666666666666,-0.07666666666666666,0.22666666666666668,0.5933333333333334,,,,,,,,,,,,,,,,,,,,JFM
1991-03-01,-0.19666666666666666,-0.14333333333333334,0.14666666666666667,0.57,,,,,,,,,,,,,,,,,,,,FMA
1991-04-01,-0.10666666666666665,0.05666666666666668,0.24333333333333332,0.57,,,,,,,,,,,,,,,,,,,,MAM
1991-05-01,-0.026666666666666644,0.41,0.47,0.59,,,,,,,,,,,,,,,,,,,,AMJ
1991-06-01,0.2833333333333334,0.7866666666666667,0.6366666666666666,0.5333333333333333,,,,,,,,,,,,,,,,,,,,MJJ
1991-07-01,0.37000000000000005,0.7799999999999999,0.6766666666666666,0.5133333333333333,,,,,,,,,,,,,,,,,,,,JJA
1991-08-01,0.42333333333333334,0.5433333333333333,0.5566666666666666,0.51,,,,,,,,,,,,,,,,,,,,JAS
1991-09-01,0.3766666666666667,0.4533333333333333,0.6366666666666666,0.6166666666666666,,,,,,,,,,,,,,,,,,,,ASO
1991-10-01,0.43,0.6266666666666667,0.8333333333333334,0.7000000000000001,,,,,,,,,,,,,,,,,,,,SON
1991-11-01,0.5133333333333333,1.02,1.3166666666666667,0.8533333333333334,,,,,,,,,,,,,,,,,,,,OND
1991-12-01,0.5333333333333333,1.25,1.6166666666666665,0.8466666666666667,,,,,,,,,,,,,,,,,,,,NDJ
1992-01-01,0.54,1.3499999999999999,1.8499999999999999,0.88,,,,,,,,,,,,,,,,,,,,DJF
1992-02-01,0.7399999999999999,1.2866666666666666,1.7866666666666668,0.8566666666666668,,,,,,,,,,,,,,,,,,,,JFM
1992-03-01,1.3533333333333335,1.2366666666666666,1.6266666666666667,0.91,,,,,,,,,,,,,,,,,,,,FMA
1992-04-01,1.8533333333333335,1.2533333333333334,1.37,0.8266666666666667,,,,,,,,,,,,,,,,,,,,MAM
1992-05-01,1.7733333333333334,0.9333333333333335,0.9566666666666667,0.6866666666666666,,,,,,,,,,,,,,,,,,,,AMJ
1992-06-01,1.1533333333333333,0.49666666666666665,0.6066666666666666,0.5633333333333334,,,,,,,,,,,,,,,,,,,,MJJ
1992-07-01,0.4166666666666667,-0.04999999999999999,0.16666666666666666,0.41333333333333333,,,,,,,,,,,,,,,,,,,,JJA
1992-08-01,-0.016666666666666673,-0.23666666666666666,-0.03666666666666666,0.29,,,,,,,,,,,,,,,,,,,,JAS
1992-09-01,-0.13333333333333333,-0.30666666666666664,-0.25666666666666665,0.11666666666666665,,,,,,,,,,,,,,,,,,,,ASO
1992-10-01,-0.13333333333333333,-0.2733333333333334,-0.24333333333333332,0.06666666666666667,,,,,,,,,,,,,,,,,,,,SON
1992-11-01,-0.1366666666666667,-0.20666666666666667,-0.10999999999999999,0.12333333333333334,,,,,,,,,,,,,,,,,,,,OND
1992-12-01,-0.1466666666666667,-0.13,0.04666666666666666,0.21333333333333335,,,,,,,,,,,,,,,,,,,,NDJ
1993-01-01,0.026666666666666672,0.013333333333333327,0.17666666666666667,0.2933333333333334,,,,,,,,,,,,,,,,,,,,DJF
1993-02-01,0.3466666666666667,0.19000000000000003,0.27,0.34,,,,,,,,,,,,,,,,,,,,JFM
1993-03-01,0.68,0.5299999999999999,0.5,0.3833333333333333,,,,,,,,,,,,,,,,,,,,FMA
1993-04-01,0.8566666666666668,0.81,0.7399999999999999,0.3933333333333333,,,,,,,,,,,,,,,,,,,,MAM
1993-05-01,0.9533333333333333,0.9033333333333334,0.8033333333333333,0.3666666666666667,,,,,,,,,,,,,,,,,,,,AMJ
1993-06-01,0.7833333333333333,0.6366666666666667,0.6433333333333334,0.3566666666666667,,,,,,,,,,,,,,,,,,,,MJJ
1993-07-01,0.6,0.25666666666666665,0.32666666666666666,0.33,,,,,,,,,,,,,,,,,,,,JJA
1993-08-01,0.44333333333333336,0.06999999999999999,0.18333333333333335,0.3466666666666667,,,,,,,,,,,,,,,,,,,,JAS
1993-09-01,0.3466666666666667,0.11666666666666665,0.15333333333333332,0.29333333333333333,,,,,,,,,,,,,,,,,,,,ASO
1993-10-01,0.23,0.19999999999999998,0.2333333333333333,0.32,,,,,,,,,,,,,,,,,,,,SON
1993-11-01,0.060000000000000005,0.21999999999999997,0.22999999999999998,0.33,,,,,,,,,,,,,,,,,,,,OND
1993-12-01,-0.043333333333333335,0.15,0.16,0.3066666666666667,,,,,,,,,,,,,,,,,,,,NDJ
1994-01-01,-0.15333333333333335,-0.013333333333333327,0.03,0.18333333333333332,,,,,,,,,,,,,,,,,,,,DJF
1994-02-01,-0.5033333333333334,-0.15666666666666665,-0.016666666666666666,0.07,,,,,,,,,,,,,,,,,,,,JFM
1994-03-01,-0.84,-0.33,0.01333333333333333,0.05333333333333334,,,,,,,,,,,,,,,,,,,,FMA
1994-04-01,-1.0733333333333335,-0.26666666666666666,0.12,0.13333333333333333,,,,,,,,,,,,,,,,,,,,MAM
1994-05-01,-0.84,-0.16,0.21666666666666667,0.2233333333333333,,,,,,,,,,,,,,,,,,,,AMJ
1994-06-01,-0.5866666666666668,-0.15666666666666665,0.22,0.3833333333333333,,,,,,,,,,,,,,,,,,,,MJJ
1994-07-01,-0.5766666666666667,-0.21333333333333335,0.3333333333333333,0.5733333333333334,,,,,,,,,,,,,,,,,,,,JJA
1994-08-01,-0.5133333333333333,-0.25,0.31333333333333335,0.64,,,,,,,,,,,,,,,,,,,,JAS
1994-09-01,-0.14666666666666664,0.09666666666666666,0.5366666666666667,0.7033333333333335,,,,,,,,,,,,,,,,,,,,ASO
1994-10-01,0.44333333333333336,0.48666666666666664,0.7666666666666666,0.7766666666666667,,,,,,,,,,,,,,,,,,,,SON
1994-11-01,0.7833333333333332,0.81,1.1066666666666667,0.9333333333333332,,,,,,,,,,,,,,,,,,,,OND
